                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.4263,                 1.8482,                 1.7093,                0.81566,                0.70016,                0.77159,                0.46401,                   1.59,                 1.9781,                 1.8949,              0.0069135,              0.0069135,              0.0069135
                    134,                 1.4158,                 1.8676,                 1.7188,                0.81554,                0.71648,                0.75633,                 0.4532,                 1.6226,                  2.028,                 1.9439,              0.0068722,              0.0068722,              0.0068722
                    135,                 1.4193,                 1.8177,                 1.6989,                 0.8184,                0.71887,                0.77146,                0.45738,                 1.6194,                  2.028,                 1.9313,              0.0068308,              0.0068308,              0.0068308
                    136,                 1.4107,                  1.807,                 1.6998,                0.81042,                0.71806,                0.77403,                0.46871,                 1.6161,                 1.9907,                 1.9367,              0.0067893,              0.0067893,              0.0067893
                    137,                 1.4279,                 1.8556,                 1.7116,                0.81499,                 0.7026,                0.77454,                0.46627,                 1.5991,                 1.9897,                  1.923,              0.0067476,              0.0067476,              0.0067476
                    138,                 1.4135,                 1.8251,                 1.6977,                0.81293,                0.70185,                0.75854,                0.46555,                 1.6083,                 2.0151,                 1.9243,              0.0067058,              0.0067058,              0.0067058
                    139,                 1.4085,                 1.7942,                 1.6866,                0.80094,                0.73062,                0.77725,                0.47464,                 1.6118,                   1.97,                 1.9359,              0.0066639,              0.0066639,              0.0066639
                    140,                 1.3742,                 1.7543,                  1.672,                0.82622,                0.73444,                0.78407,                 0.4764,                 1.5953,                 1.9402,                 1.9068,              0.0066218,              0.0066218,              0.0066218
                    141,                 1.3853,                 1.7655,                 1.6745,                0.83022,                0.72624,                0.78203,                0.47993,                 1.5888,                 1.9731,                 1.9148,              0.0065796,              0.0065796,              0.0065796
                    142,                 1.3822,                 1.7683,                 1.6819,                0.83735,                0.68457,                0.77294,                0.47056,                 1.5816,                 2.0719,                  1.918,              0.0065373,              0.0065373,              0.0065373
                    143,                 1.3728,                 1.7596,                 1.6712,                0.80467,                0.71816,                0.77202,                0.48083,                 1.5576,                   1.94,                 1.8897,              0.0064949,              0.0064949,              0.0064949
                    144,                 1.3834,                 1.7704,                 1.6809,                0.79891,                0.70638,                0.76618,                0.46354,                 1.6014,                 1.9996,                  1.931,              0.0064523,              0.0064523,              0.0064523
                    145,                 1.3841,                 1.7946,                 1.6929,                0.81111,                0.73823,                0.79207,                0.47689,                 1.5892,                 1.9318,                 1.9135,              0.0064097,              0.0064097,              0.0064097
